Latitude,Longitude,Density Class,x,y
27.8099,-97.0697,2,-10805749.5754558,3225027.60101963
29.2571,-94.8424,2,-10557807.673612,3408409.97810119
29.2739,-94.8125,2,-10554479.2208372,3410553.77118024
27.9819,-96.9376,3,-10791044.270722,3246691.9853483
27.9917,-96.9276,3,-10789931.0758141,3247927.38983906
27.9922,-96.927,2,-10789864.2841196,3247990.42369142
27.9928,-96.927,2,-10789864.2841196,3248066.06470021
27.5526,-97.2354,3,-10824195.2150803,3192683.09031279
30.3748,-89.0538,2,-9913423.66920602,3551818.4397141
29.9392,-90.3759,2,-10060599.1679838,3495736.96202053
30.2937,-91.2334,3,-10156055.631339,3541358.38085397
29.5968,-94.9866,3,-10573859.9441844,3451826.81849532
30.2728,-86.0042,1,-9573943.75008286,3538664.15791896
14.44,-61.66,2,-6863959.80231324,1624745.48356561
16.72,-63.62,2,-7082146.00426806,1888255.59076725
17.57,-76.65,2,-8532638.96930442,1987278.59682646
12.39,-63.05,1,-7018693.89451589,1390125.4005528
17.34,-63.76,0,-7097730.73297912,1960439.2158236
29.313,-94.8212,3,-10555447.7004071,3415544.55938974
29.2754,-94.8103,2,-10554234.3179575,3410745.19840907
29.2759,-94.8092,2,-10554111.8665176,3410809.00810968
21.39,-81.96,2,-9123745.4654167,2438443.1410175
27.414,-97.3019,3,-10831597.961218,3175291.4794833
27.2766,-97.348,2,-10836729.7897436,3158071.97024219
28.9329,-95.3024,2,-10609014.6393769,3367108.47732387
29.2325,-94.8864,2,-10562705.7312069,3405271.48770379
29.2557,-94.845,2,-10558097.104288,3408231.34457558
29.2652,-94.8278,2,-10556182.4090464,3409443.54864628
26.6636,-97.3113,2,-10832644.3644315,3081505.51482824
27.9928,-96.9263,2,-10789786.3604761,3248066.06470021
27.7784,-97.0965,3,-10808732.9378091,3221063.71824408
27.8013,-97.0773,2,-10806595.6035859,3223945.28409235
29.6527,-95.0092,3,-10576375.7646763,3458985.32822901
29.7613,-95.0797,4,-10584223.7887772,3472903.93709171
30.5068,-86.4372,0,-9622145.08959634,3568862.02299792
30.3089,-89.3257,2,-9943691.43875271,3543318.1763407
16.53,-79.06,1,-8800918.9421162,1866182.15869723
16.76,-81.93,2,-9120405.8806929,1892905.42273097
16.67,-62.58,2,-6966373.73384306,1882444.67164691
13.98,-68.7,2,-7647649.01749789,1571922.10027002
19.9066,-87.4321,3,-9732896.85098657,2261969.69102841
29.2315,-94.8879,2,-10562872.7104431,3405143.92274814
29.2156,-94.9143,2,-10565811.545,3403115.80730539
29.2902,-94.7873,2,-10551673.9696693,3412634.09771728
29.2749,-94.8106,2,-10554267.7138047,3410681.38902063
29.2762,-94.8074,2,-10553911.4914342,3410847.29407989
29.2677,-94.8237,2,-10555725.9991341,3409762.56843592
